BranchID,Employer,SalesForceID,TimesheetType,Date,Enrolled Hours-Total,Enrolled Hours-Hourly,HourlyEnrolledWorked,Enrolled Hours-Salaried,Enrolled Users-Total,UnEnrolled Hours,Total Hours(Enrolled + Unenrolled),UnenrolledUsers-Total,Employees in TA,Last TA File Process Date
1991,Ajinomoto Foods,0018W00001gIj6Z,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1992,Aloft,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1993,Blue Sky Corporate Ranch,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1994,Lorien Health Services,0018W00001gIbNu,Daily,1/1/2025 0:00,0,0,0,0,0,3408.07,3408.07,419,419,45707.51181
1995,Natural Beauty Growers,0018W00001siOWR,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1996,The Hogan Company,0018W00001siesw,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1997,Satellite Shelters Inc,0018W00001shjDR,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1998,Evenflo Goodbaby,0018W00001gL7CT,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
1999,Baker Boy,0018W00001simFB,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2000,Fenner Drives,0018W00001gJNQJ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2001,Cordis,0018W00001gJ0QE,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2002, Nothing Bundt Cakes,0018W00001sjnxw,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2003,Car Toys,0018W00001shHfc,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2004,AGAVE & RYE,0018W00001sio4V,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,44992.41181
2006,LifeShare Blood Center,0018W00001shLSk,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2007,National Carwash Solutions,0018W00001shJma,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2008,Thomas Allen,0018W00001ZNiWB,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2009,Community Hospital Corporation,0011I00001TTlqX,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2011,Westminster Presbyterian Comm,0018W00001siKMWQA2,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2012,Legacy Vacation Club,0018W00001gM13R,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2013,Cosentino's,0011I00001TRdoE,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2014,Asbury Communities,0011I00001ZKoly,Daily,1/1/2025 0:00,0,0,0,0,0,10790.37,10790.37,1105,1105,45705.88333
2015,San Antonio Zoo,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2016,Tampa Metropolitan Area YMCA,0018W00001gLmjc,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2017,GSP Retail,0018W00001si31q,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2018,R D Merrill,0018W00001gIvJQ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2020,Titan Technologies LLC,0018W00001siYMR,Daily,1/1/2025 0:00,0,0,0,0,0,282.5,282.5,38,38,45706.69583
2021,PGW Auto Glass,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2022,Scheels Sports,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2023,North Central Health Care,0018W00001gKsyM,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2024,Integrated Supply Network,0018W00001silbT,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2025,GO Car Wash,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2026,WeStreet Federal Credit Union,0018W00001simIj,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2027,Agri Beef Co,0018W00001gJfpb,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2031,Ingleside,0018W00001siKMW,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2032,Sadiant Health LLC,0011I00001Cnj6O,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45072.61319
2033,American Health Partners,0011I000006cXHJ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45578.54236
2034,Team Industries,0011I00001ZLveu,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2035,Hope Network,0018W00001ZNblR,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2037,Advanced Medical Management,0018W00001gJa3p,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2038,Vivie,0018W00001shVRT,Daily,1/1/2025 0:00,0,0,0,0,0,11527.37,11527.37,1201,1201,
2039,Foam Holdings,0018W00001siKUB,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2040,Elegance Living,0011I00001YLoqA,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2041,First Hospitality,0018W000022BTAf,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2042,Master Electronics,0018W00001sjnxw,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2044,Batson-Cook,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2045,GDI,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2046,Preferred Credit Inc,0018W00001gJOLz,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2047,Holland Home,0018W00001skDek,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2048,ALDI,0018W00001ZOHyY,Daily,1/1/2025 0:00,0,0,0,0,0,1915.99,1915.99,1341,1341,45706.94167
2049,The Loss Prevention Group,0018W00001gIewOQAS,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2050,Saint Therese,0018W0000229qdl,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2052,Stratatech Education Group,0018W00001shLR8,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2053,LRE Foundation Repair,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2055,MI Windows and Doors,0018W00001gIjCO,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2056,Salm Partners,0018W000027i40i,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2057,Eulen America,0018W000022B5X9,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45303.41667
2059,INW Phoenix Formulations,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2060,Western States Equipment Company,0018W0000253eh8,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2061,Encore Group USA,0018W0000253YBl,Daily,1/1/2025 0:00,0,0,0,0,0,45301.16,45301.16,5380,5380,45707.54167
2062,Surgery Partners,0011I00001NrODa,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2063,Ayers Oil Co,0018W000024uXSw,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2064,EnCircle,0018W00001gIbPl,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45520.4875
2065,Lahaina Petroleum LLC,0018W000022B1bC,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2066,Experity,0018W00001gIiNj,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2067,Otter Tail Corporation,0018W000022AuWy,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2068,S Abraham and Sons,0011I00001ZLvq4,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2069,True North,0018W00001si2eX,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2070,Central Processing Corporation,0018W0000252b2p,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2071,Henderson Libraries,0018W00001ZOGN4,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2072,Credit Union of Texas,0018W00001sj0wt,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2073,Quality Dairy Company,0018W0000253LdF,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2074,Life Alive,0018W000027hwDl,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2075,Yaskawa,0018W000027i3yr,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2077,US Retail,0018W000027jxlZ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2078,Springstone Inc,0018W000022Ao9R,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2079,Northern Wholesale Supply,0018W000027j7Rz,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2080,CTI Foods,0018W000027k4xsQAA,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2081,Wicomico Public Schools,0018W000027kMoQ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2082,Newcomb Oil Co.,0018W000022AeYy,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2083,VT Industries,0018W000027kOhm,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2084,St Francis Health Services of Morris,0018W000027hyMSQAY,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2085,Volunteers of America National Services,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2086,Sorenson,0011I00001TUrL4,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2087,Bold Quail Operations LLC,0018W000027itRH,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2088,Wireless Vision,0018W000027ib2u,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2089,Texas Book Company,0018W00001siQMT,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2090,Concord Hospitality,0011I00001ZLmr4,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2091,INW Manufacturing LLC,0018W00001shD1a,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2092,Senior Star Corporate,0018W0000253bSo,Cumulative,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45707.44306
2094,Potawatomi Bingo Casino,0018W000027i9pJQAQ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2095,Avamere,0011I0000118tnB,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2096,Goodwill Industries of Northwest North Carolina,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2097,Senske,0011I00001ZKWGnQAP,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2098,Logs Legal Group,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2099,Associated Feed,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2100,Showplace Cabinetry,0018W000027iJmT,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2101,Integris BioService,0018W0000253Xqn,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2102,I.M.P.A.C.T,0018W0000253sCn,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2103,Sunbelt Solomon,0018W000027jtGz,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2105,MINACT,0018W0000253ThM,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2106,Novo Building Products,0018W0000253TLj,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2107,AER Manufacturing,0018W000027kGt2,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2108,YMCA of Metropolitan Dallas,0018W000027irUH,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2109,Life Science Innovations,0018W00002DLIfD,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2110,CAPITAL DISTRICT YMCA,0018W00002DLV39,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2111,ODW Logistics,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2112,Service Linen Supply,0018W00002DLUwSQAX,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2113,"The GEO Group, Inc",0011I00000VPbNxQAL,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2114,Hero DVO,0018W000027jtZh,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2115,Relay Resources,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2116,Haven Health,0018W000027jGSz,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2117,Four Winds Casino,0011I00000uWrPB,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2118,EN Engineering LLC,0018W000027jyIx,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2119,Dead River Company,0018W000027jlmm,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2120,"Colorvision International, Inc",0018W000027iETi,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2121,Engineered Floors,0011I00001TTZWs,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2122,Exception_Test_789,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2123,First Community Credit Union,0018W00002541sm,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2124,Overhill Farms,0018W000027jfEY,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2125,Dot Foods,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2127,St. Mary’s Hospital Clearwater Valley Hospital,0018W000024ucVD,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2128,Mans Lumber,0018W0000253rMOQAY,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,45652.42847
2129,City of Southlake,0018W00001gIpRQ,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2130,Summit Healthcare Management,0018W000027iprq,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2131,Saint John's On The Lake,0018W000027kWKV,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2132,Frederick Health,0018W000027jLD5,Daily,1/1/2025 0:00,0,0,0,0,0,5889.31,5889.31,621,621,45683.42569
2133,Central Management Company LLC,0018W00001gLpV0,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2134,UKG Dimensions SSO,,Daily,1/1/2025 0:00,0,0,0,0,0,0,0,0,0,
2135,Marquis Companies,0018W000027k0CU,Daily,1/1/2025 0:00,0,0,0,0,0,20935.72,20935.72,1443,1443,45707.40486
